indicatorId,geoUnit,year,type,subtype,value
20063,AIA,2002,Data Status,Data reporting,NA
20063,AIA,2002,Source,Data sources,UIS Education Survey
20063,AIA,2003,Data Status,Data reporting,NA
20063,AIA,2003,Source,Data sources,UIS Education Survey
20063,AIA,2004,Data Status,Data reporting,NA
20063,AIA,2004,Source,Data sources,UIS Education Survey
20063,AIA,2005,Data Status,Data reporting,NA
20063,AIA,2005,Source,Data sources,UIS Education Survey
20063,AIA,2006,Data Status,Data reporting,NA
20063,AIA,2006,Source,Data sources,UIS Education Survey
20063,AIA,2007,Data Status,Data reporting,NA
20063,AIA,2007,Source,Data sources,UIS Education Survey
20063,AIA,2008,Data Status,Data reporting,NA
20063,AIA,2008,Source,Data sources,UIS Education Survey
20063,AIA,2009,Data Status,Data reporting,NA
20063,AIA,2009,Source,Data sources,UIS Education Survey
20063,AIA,2010,Source,Data sources,Source: UIS Dynamic Template based on
20063,AIA,2011,Source,Data sources,Source: UIS Dynamic Template based on
20063,AIA,2012,Source,Data sources,Source: UIS Dynamic Template based on
20063,AIA,2013,Source,Data sources,Source: UIS Dynamic Template based on
20063,AIA,2014,Source,Data sources,Source: UIS Dynamic Template based on
20063,AIA,2015,Source,Data sources,Source: UIS Dynamic Template based on
20063,AIA,2019,Data Status,Data reporting,NA
20063,AIA,2019,Source,Data sources,UIS Education Survey
20063,AIA,2022,Data Status,Data reporting,NA
20063,AIA,2022,Source,Data sources,UIS Education Survey
20063,AIA,2023,Source,Data sources,Source: UIS Dynamic Template based on
20063,ALB,2000,Data Status,Data reporting,NA
20063,ALB,2000,Source,Data sources,UIS Education Survey
20063,ALB,2001,Data Status,Data reporting,NA
20063,ALB,2001,Source,Data sources,UIS Education Survey
20063,ALB,2002,Data Status,Data reporting,NA
20063,ALB,2002,Source,Data sources,UIS Education Survey
20063,ALB,2003,Data Status,Data reporting,NA
20063,ALB,2003,Source,Data sources,UIS Education Survey
20063,ALB,2004,Data Status,Data reporting,NA
20063,ALB,2004,Source,Data sources,UIS Education Survey
20063,ALB,2005,Data Status,Data reporting,NA
20063,ALB,2005,Source,Data sources,UIS Education Survey
20063,ALB,2006,Data Status,Data reporting,NA
20063,ALB,2006,Source,Data sources,UIS Education Survey
20063,ALB,2007,Data Status,Data reporting,NA
20063,ALB,2007,Source,Data sources,UIS Education Survey
20063,ALB,2008,Data Status,Data reporting,NA
20063,ALB,2008,Source,Data sources,UIS Education Survey
20063,ALB,2009,Data Status,Data reporting,NA
20063,ALB,2009,Source,Data sources,UIS Education Survey
20063,ALB,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,ALB,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2002,Data Status,Data reporting,NA
20063,AND,2002,Source,Data sources,UIS Education Survey
20063,AND,2003,Data Status,Data reporting,NA
20063,AND,2003,Source,Data sources,UIS Education Survey
20063,AND,2004,Data Status,Data reporting,NA
20063,AND,2004,Source,Data sources,UIS Education Survey
20063,AND,2005,Data Status,Data reporting,NA
20063,AND,2005,Source,Data sources,UIS Education Survey
20063,AND,2006,Data Status,Data reporting,NA
20063,AND,2006,Source,Data sources,UIS Education Survey
20063,AND,2007,Data Status,Data reporting,NA
20063,AND,2007,Source,Data sources,UIS Education Survey
20063,AND,2008,Data Status,Data reporting,NA
20063,AND,2008,Source,Data sources,UIS Education Survey
20063,AND,2009,Data Status,Data reporting,NA
20063,AND,2009,Source,Data sources,UIS Education Survey
20063,AND,2010,Data Status,Data reporting,NA
20063,AND,2010,Source,Data sources,UIS Education Survey
20063,AND,2011,Data Status,Data reporting,NA
20063,AND,2011,Source,Data sources,UIS Education Survey
20063,AND,2012,Data Status,Data reporting,NA
20063,AND,2012,Source,Data sources,UIS Education Survey
20063,AND,2013,Data Status,Data reporting,NA
20063,AND,2013,Source,Data sources,UIS Education Survey
20063,AND,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
20063,AND,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
