indicatorId,geoUnit,year,type,subtype,value
GER.1.F,AFG,2013,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2013,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2014,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2014,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2015,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2015,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2016,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2016,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2017,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2017,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2018,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2018,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2019,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2019,Source,Data sources,UIS Education Survey
GER.1.F,AGO,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AGO,2008,Source,Data sources,UIS Education Survey
GER.1.F,AGO,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AGO,2009,Source,Data sources,UIS Education Survey
GER.1.F,AGO,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AGO,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AGO,2015,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AGO,2015,Source,Data sources,UIS Education Survey
GER.1.F,AGO,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AGO,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
GER.1.F,AIA,2000,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2000,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2001,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2001,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2002,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2003,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2003,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2004,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2004,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2005,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2006,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2006,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2007,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2007,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2008,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2009,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2010,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2010,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2011,Source,Data sources,Source: UIS Dynamic Template based on
GER.1.F,AIA,2012,Source,Data sources,Source: UIS Dynamic Template based on
GER.1.F,AIA,2013,Source,Data sources,Source: UIS Dynamic Template based on
GER.1.F,AIA,2014,Source,Data sources,Source: UIS Dynamic Template based on
GER.1.F,AIA,2015,Source,Data sources,Source: UIS Dynamic Template based on
GER.1.F,AIA,2019,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2019,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2022,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AIA,2022,Source,Data sources,UIS Education Survey
GER.1.F,AIA,2023,Source,Data sources,Source: UIS Dynamic Template based on
GER.1.F,ALB,2002,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2002,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2003,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2003,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2004,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2004,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2005,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
GER.1.F,ALB,2005,Source,Data sources,UIS Education Survey
GER.1.F,ALB,2006,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
